GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Macédoine du Nord,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	3,071	1,285	1,142	0,600	0,660	1,261	0,608	0,825	1,805	2,223
Albanie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	98,149	108,549	137,799	76,049	66,300	86,449	61,303	48,682	48,351	79,315
Serbie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	4,250	9,046	8,394	6,500	11,981	20,356	9,612	5,968	12,505	15,406
Turquie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Bosnie-Herzégovine,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	:	0,000	0,000	0,000	0,000	0,000
Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies),Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	4,514	21,926	25,795	23,216	0,000	0,000	0,000	0,000	0,000	0,540
Moldavie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	64,487	76,319	72,769	79,400	137,256	68,628	53,246	47,921	72,178	56,728
Ukraine,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	3.399,767	4.724,456	4.716,400	5.992,175	4.297,471	3.513,706	1.729,232	3.038,959	2.084,860	2.144,707
Géorgie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	5,264	2,632	1,974	1,974	4,343	4,146
Union européenne - 27 pays (à partir de 2020),Énergie disponible brute,Charbon à coke,Milliers de tonnes équivalent pétrole (TEP)	35.744,314	41.816,643	42.360,208	42.758,134	37.992,639	38.651,898	36.592,612	38.216,969	38.879,344	37.721,391
Union européenne - 28 pays (2013-2020),Énergie disponible brute,Charbon à coke,Milliers de tonnes équivalent pétrole (TEP)	40.011,368	46.459,697	46.910,217	47.079,781	42.856,676	43.103,289	40.253,203	40.221,197	41.057,174	39.391,494
Zone euro - 19 pays (à partir de 2015),Énergie disponible brute,Charbon à coke,Milliers de tonnes équivalent pétrole (TEP)	24.754,349	28.199,448	29.117,659	30.161,870	24.742,714	25.207,524	22.452,758	24.763,367	25.243,137	24.462,276
Belgique,Énergie disponible brute,Charbon à coke,Milliers de tonnes équivalent pétrole (TEP)	1.370,619	1.838,925	1.805,325	1.701,150	1.643,863	1.356,728	1.139,790	1.113,283	1.098,262	1.108,117
Bulgarie,Énergie disponible brute,Charbon à coke,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Tchéquie,Énergie disponible brute,Charbon à coke,Milliers de tonnes équivalent pétrole (TEP)	1.981,664	2.433,497	2.506,923	2.191,807	2.334,893	2.609,932	2.557,362	2.152,740	2.366,396	2.279,931
